datetime,meas,meas2
2018-08-27 00:00:18.769091,60.08,99.9
2018-08-27 00:05:15.013929,60.08,99.9
2018-08-27 00:10:18.26441,59.9,99.9
2018-08-27 00:15:18.800792,59.72,99.9
2018-08-27 00:20:15.406788,59.72,99.9
2018-08-27 00:25:15.89934,59.72,99.9
2018-08-27 00:30:16.413341,59.72,99.9
2018-08-27 00:35:17.964961,59.72,99.9
2018-08-27 00:40:15.748506,59.72,99.9
2018-08-27 00:45:18.681991,59.54,99.9
2018-08-27 00:50:18.350006,59.54,99.9
2018-08-27 00:55:17.711748,59.72,99.9
2018-08-27 01:00:15.415904,59.54,99.9
2018-08-27 01:05:15.642842,59.72,99.9
2018-08-27 01:10:18.525645,59.72,99.9
2018-08-27 01:15:17.770109,59.72,99.9
2018-08-27 01:20:20.814443,59.72,99.9
2018-08-27 01:25:18.150187,59.72,99.9
2018-08-27 01:30:18.656506,59.72,99.9
2018-08-27 01:40:18.259374,59.54,99.9
2018-08-27 01:45:18.647245,59.54,99.9
2018-08-27 01:50:15.28395,59.54,99.9
2018-08-27 01:55:18.004479,59.36,99.9
2018-08-27 02:00:18.221924,59.54,99.9
2018-08-27 02:05:18.492864,59.54,99.9
2018-08-27 02:10:18.0753,59.54,99.9
2018-08-27 02:15:18.341448,59.54,99.9
2018-08-27 02:20:17.79049,59.54,99.9
2018-08-27 02:25:15.5981,59.54,99.9
2018-08-27 02:30:15.887133,59.36,99.9
2018-08-27 02:35:18.401447,59.54,99.9
2018-08-27 02:40:17.81341,59.54,99.9
2018-08-27 02:45:18.255035,59.54,99.9
2018-08-27 02:50:18.410534,59.54,99.9
2018-08-27 02:55:15.099474,59.54,99.9
2018-08-27 03:00:23.112644,59.36,99.9
2018-08-27 03:05:18.60153,59.36,99.9
2018-08-27 03:10:15.486724,59.36,99.9
2018-08-27 03:15:15.884909,59.36,99.9
2018-08-27 03:20:17.58621,59.18,99.9
2018-08-27 03:25:18.049271,59.18,99.9
2018-08-27 03:30:15.912052,59.18,99.9
2018-08-27 03:35:20.703242,59.36,99.9
2018-08-27 03:40:17.991867,59.36,99.9
2018-08-27 03:45:15.881068,59.36,99.9
2018-08-27 03:50:18.61011,59.36,99.9
2018-08-27 03:55:18.078148,59.36,99.9
2018-08-27 04:00:18.453363,59.36,99.9
2018-08-27 04:05:18.718488,59.36,99.9
2018-08-27 04:10:17.99554,59.36,99.9
2018-08-27 04:15:15.633709,59.36,99.9
2018-08-27 04:20:18.545587,59.36,99.9
2018-08-27 04:25:15.841554,59.36,99.9
2018-08-27 04:30:18.521665,59.72,99.9
2018-08-27 04:35:18.398273,59.72,99.9
2018-08-27 04:40:15.172227,59.72,99.9
2018-08-27 04:45:18.174284,59.9,99.9
2018-08-27 04:50:18.360498,59.9,99.9
2018-08-27 04:55:15.482799,59.9,99.9
2018-08-27 05:00:16.074234,60.08,99.9
2018-08-27 05:05:20.88495,60.08,99.9
2018-08-27 05:10:15.76586,60.08,99.9
2018-08-27 05:15:21.138145,60.08,99.9
2018-08-27 05:20:18.21191,60.08,99.9
2018-08-27 05:25:18.159468,60.08,99.9
2018-08-27 05:30:19.18131,60.08,99.9
2018-08-27 05:35:18.299868,60.08,99.9
2018-08-27 05:40:15.128401,60.08,99.9
2018-08-27 05:45:15.534098,60.08,99.9
2018-08-27 05:50:15.410239,60.08,99.9
2018-08-27 05:55:15.586551,60.26,99.9
2018-08-27 06:00:15.914088,60.26,99.9
2018-08-27 06:05:17.573248,60.44,99.9
2018-08-27 06:10:17.854531,60.62,99.9
2018-08-27 06:15:15.626386,60.62,99.9
2018-08-27 06:20:16.021386,60.98,99.9
2018-08-27 06:25:24.633773,62.06,99.9
2018-08-27 06:30:18.73884,62.6,99.9
2018-08-27 06:35:17.894348,62.96,99.9
2018-08-27 06:40:18.50558,63.5,99.9
2018-08-27 06:45:15.426335,63.5,99.9
2018-08-27 06:50:15.528672,63.86,99.9
2018-08-27 06:55:15.965311,64.04,99.9
2018-08-27 07:00:18.010239,64.58,99.9
2018-08-27 07:05:15.629377,64.76,99.9
2018-08-27 07:10:20.993909,65.3,99.9
2018-08-27 07:15:23.717852,65.48,99.9
2018-08-27 07:20:18.060166,65.66,99.9
2018-08-27 07:25:15.913703,65.66,99.9
2018-08-27 07:30:17.79525,66.02,99.9
2018-08-27 07:35:18.198271,66.38,99.9
2018-08-27 07:40:14.658073,66.2,99.9
2018-08-27 07:45:18.590834,66.74,99.9
2018-08-27 07:50:17.839287,66.92,99.9
2018-08-27 07:55:20.860545,66.92,99.9
2018-08-27 08:00:15.679832,66.92,99.9
2018-08-27 08:05:15.194391,67.1,99.9
