datetime,meas
2018-08-27 00:00:02.611211,86.72
2018-08-27 00:05:02.112944,84.7832
2018-08-27 00:10:01.710044,86.72
2018-08-27 00:15:02.090303,86.72
2018-08-27 00:20:01.940267,86.72
2018-08-27 00:25:02.077956,85.7516
2018-08-27 00:30:02.527998,86.72
2018-08-27 00:35:01.844828,85.7516
2018-08-27 00:40:01.828308,85.7516
2018-08-27 00:45:02.25649,85.7516
2018-08-27 00:50:02.666956,85.7516
2018-08-27 00:55:02.411988,85.7516
2018-08-27 01:00:02.872262,84.7832
2018-08-27 01:05:02.012193,84.7832
2018-08-27 01:10:01.850668,84.7832
2018-08-27 01:15:02.799881,85.7516
2018-08-27 01:20:01.770841,84.7832
2018-08-27 01:25:01.692946,85.7516
2018-08-27 01:30:02.573663,85.7516
2018-08-27 01:35:02.061909,85.7516
2018-08-27 01:40:02.540705,85.7516
2018-08-27 01:45:01.942282,84.7832
2018-08-27 01:50:02.307319,84.7832
2018-08-27 01:55:02.258051,84.7832
2018-08-27 02:00:02.352652,84.7832
2018-08-27 02:05:02.292505,84.7832
2018-08-27 02:10:01.654346,84.7832
2018-08-27 02:15:02.491944,84.7832
2018-08-27 02:20:01.767086,84.7832
2018-08-27 02:25:01.765748,85.7516
2018-08-27 02:30:02.395214,84.7832
2018-08-27 02:35:01.687,84.7832
2018-08-27 02:40:01.762385,84.7832
2018-08-27 02:45:02.650149,84.7832
2018-08-27 02:50:02.020995,84.7832
2018-08-27 02:55:02.617961,84.7832
2018-08-27 03:00:02.032012,84.7832
2018-08-27 03:05:02.169612,84.7832
2018-08-27 03:10:02.081973,84.7832
2018-08-27 03:15:01.94033,84.7832
2018-08-27 03:20:02.141987,84.7832
2018-08-27 03:25:02.253917,84.7832
2018-08-27 03:30:01.878721,84.7832
2018-08-27 03:35:02.388297,84.7832
2018-08-27 03:40:02.138636,84.7832
2018-08-27 03:45:02.850178,84.7832
2018-08-27 03:50:02.387709,84.7832
2018-08-27 03:55:02.562012,84.7832
2018-08-27 04:00:02.824177,84.7832
2018-08-27 04:05:02.453562,85.7516
2018-08-27 04:10:01.907957,84.7832
2018-08-27 04:15:02.722631,84.7832
2018-08-27 04:20:02.654657,84.7832
2018-08-27 04:25:02.179876,84.7832
2018-08-27 04:30:02.549885,85.7516
2018-08-27 04:35:02.154813,84.7832
2018-08-27 04:40:02.082956,84.7832
2018-08-27 04:45:02.657964,84.7832
2018-08-27 04:50:02.140191,84.7832
2018-08-27 04:55:02.248548,84.7832
2018-08-27 05:00:02.289866,84.7832
2018-08-27 05:05:02.089768,85.7516
2018-08-27 05:10:01.702205,84.7832
2018-08-27 05:15:02.514678,84.7832
2018-08-27 05:20:01.71045,84.7832
2018-08-27 05:25:02.210791,83.8148
2018-08-27 05:30:02.86256,84.7832
2018-08-27 05:35:02.510325,85.7516
2018-08-27 05:40:02.320349,85.7516
2018-08-27 05:45:02.760291,85.7516
2018-08-27 05:50:02.220277,84.7832
2018-08-27 05:55:02.281102,85.7516
2018-08-27 06:00:02.469935,84.7832
2018-08-27 06:05:01.821056,84.7832
2018-08-27 06:10:02.272521,84.7832
2018-08-27 06:15:02.020551,84.7832
2018-08-27 06:20:02.072499,86.72
2018-08-27 06:25:02.475345,85.7516
2018-08-27 06:30:02.593968,86.72
2018-08-27 06:35:02.225155,85.7516
2018-08-27 06:40:02.507219,85.7516
2018-08-27 06:45:02.607505,85.7516
2018-08-27 06:50:01.930742,84.7832
2018-08-27 06:55:02.316875,86.72
2018-08-27 07:00:02.111993,86.72
2018-08-27 07:05:02.602268,85.7516
2018-08-27 07:10:02.050063,85.7516
2018-08-27 07:15:01.970104,86.72
2018-08-27 07:20:01.866628,85.7516
2018-08-27 07:25:02.498579,85.7516
2018-08-27 07:30:02.21982,86.72
2018-08-27 07:35:02.665131,87.6884
2018-08-27 07:40:02.391195,88.6568
2018-08-27 07:45:02.416909,89.6252
2018-08-27 07:50:01.815583,88.6568
2018-08-27 07:55:02.430379,89.6252
2018-08-27 08:00:02.409664,90.5936
2018-08-27 08:05:02.519111,90.5936
2018-08-27 08:10:02.279806,90.5936
2018-08-27 08:15:02.792442,92.5304
2018-08-27 08:20:02.17585,92.5304
2018-08-27 08:25:01.847077,91.562
2018-08-27 08:30:02.346209,92.5304
2018-08-27 08:35:01.985962,92.5304
2018-08-27 08:40:02.204217,93.4988
2018-08-27 08:45:01.897017,94.4672
2018-08-27 08:50:02.236076,94.4672
2018-08-27 08:55:02.131877,94.4672
2018-08-27 09:00:02.276425,94.4672
2018-08-27 09:05:01.688116,94.4672
2018-08-27 09:10:02.420148,95.4356
2018-08-27 09:15:02.069445,96.404
2018-08-27 09:20:01.887259,95.4356
2018-08-27 09:25:02.207486,95.4356
2018-08-27 09:30:02.447695,96.404
2018-08-27 09:35:02.162546,96.404
2018-08-27 09:40:02.540608,96.404
2018-08-27 09:45:02.36228,96.404
2018-08-27 09:50:02.502513,96.404
2018-08-27 09:55:02.102354,98.3408
2018-08-27 10:00:02.730584,98.3408
2018-08-27 10:05:02.330351,98.3408
2018-08-27 10:10:02.641039,98.3408
2018-08-27 10:15:02.851021,99.3092
2018-08-27 10:20:02.590831,99.3092
2018-08-27 10:25:01.775187,100.278
2018-08-27 10:30:02.576257,100.278
2018-08-27 10:35:02.190459,100.278
2018-08-27 10:40:02.360963,100.278
2018-08-27 10:45:02.280171,101.246
2018-08-27 10:50:02.250937,100.278
2018-08-27 10:55:02.090382,101.246
2018-08-27 11:00:02.046884,100.278
2018-08-27 11:05:01.835226,100.278
2018-08-27 11:10:01.914513,100.278
2018-08-27 11:15:02.301041,100.278
2018-08-27 11:20:01.860332,100.278
2018-08-27 11:25:02.52043,100.278
2018-08-27 11:30:02.420409,101.246
2018-08-27 11:35:02.430235,101.246
2018-08-27 11:40:02.210376,101.246
2018-08-27 11:45:02.804237,102.214
2018-08-27 11:50:01.74591,103.183
2018-08-27 11:55:02.233342,102.214
2018-08-27 12:00:02.12718,102.214
2018-08-27 12:05:01.686886,102.214
2018-08-27 12:10:01.66528,102.214
2018-08-27 12:15:02.18267,101.246
2018-08-27 12:20:01.958487,100.278
2018-08-27 12:25:02.412047,102.214
2018-08-27 12:30:01.99056,102.214
2018-08-27 12:35:02.278817,102.214
2018-08-27 12:40:01.951933,102.214
2018-08-27 12:45:02.160568,102.214
2018-08-27 12:50:01.941796,101.246
2018-08-27 12:55:02.640922,102.214
2018-08-27 13:00:02.252129,103.183
2018-08-27 13:05:01.740352,102.214
2018-08-27 13:10:02.234381,101.246
2018-08-27 13:15:02.702578,102.214
2018-08-27 13:20:02.542699,102.214
2018-08-27 13:25:01.960253,102.214
2018-08-27 13:30:02.770601,104.151
2018-08-27 13:35:01.786864,103.183
2018-08-27 13:40:02.646972,104.151
2018-08-27 13:45:02.594782,104.151
2018-08-27 13:50:01.789982,104.151
2018-08-27 13:55:01.955867,105.12
2018-08-27 14:00:02.300212,104.151
2018-08-27 14:05:02.174812,106.088
2018-08-27 14:10:01.890013,108.025
2018-08-27 14:15:02.115354,108.993
2018-08-27 14:20:02.469962,109.962
2018-08-27 14:25:02.123454,109.962
2018-08-27 14:30:02.536304,109.962
2018-08-27 14:35:02.23107,111.898
2018-08-27 14:40:02.520319,111.898
2018-08-27 14:45:02.06854,113.835
2018-08-27 14:50:01.879854,112.867
2018-08-27 14:55:02.115016,115.772
2018-08-27 15:00:02.070605,116.74
2018-08-27 15:05:01.77942,117.709
2018-08-27 15:10:02.42707,118.677
2018-08-27 15:15:02.612359,118.677
2018-08-27 15:20:01.771604,119.646
2018-08-27 15:25:02.128617,117.709
2018-08-27 15:30:02.184636,117.709
2018-08-27 15:35:02.500479,117.709
2018-08-27 15:40:01.919196,117.709
2018-08-27 15:45:02.535607,119.646
2018-08-27 15:50:02.604298,118.677
2018-08-27 15:55:02.12683,119.646
2018-08-27 16:00:02.09061,120.614
2018-08-27 16:05:01.764371,120.614
2018-08-27 16:10:02.558591,119.646
2018-08-27 16:15:02.552241,118.677
2018-08-27 16:20:02.282204,116.74
2018-08-27 16:25:02.132651,115.772
2018-08-27 16:30:01.912447,115.772
2018-08-27 16:35:02.310077,113.835
2018-08-27 16:40:02.180545,113.835
2018-08-27 16:45:02.062135,114.804
2018-08-27 16:50:02.055309,112.867
2018-08-27 16:55:01.701676,112.867
2018-08-27 17:00:02.497941,112.867
2018-08-27 17:05:02.251634,111.898
2018-08-27 17:10:01.824954,111.898
2018-08-27 17:15:02.410244,111.898
2018-08-27 17:20:02.118947,109.962
2018-08-27 17:25:01.990108,109.962
2018-08-27 17:30:02.78893,111.898
2018-08-27 17:35:02.552121,109.962
2018-08-27 17:40:02.29229,109.962
2018-08-27 17:45:02.117839,108.025
2018-08-27 17:50:02.009059,109.962
2018-08-27 17:55:02.050135,108.993
2018-08-27 18:00:02.330309,108.025
2018-08-27 18:05:02.024377,108.993
2018-08-27 18:10:02.28082,108.025
2018-08-27 18:15:02.322344,108.993
2018-08-27 18:20:01.942134,107.056
2018-08-27 18:25:02.056501,108.025
2018-08-27 18:30:02.694457,106.088
2018-08-27 18:35:02.58732,106.088
2018-08-27 18:40:02.626271,106.088
2018-08-27 18:45:02.230469,107.056
2018-08-27 18:50:01.970662,105.12
2018-08-27 18:55:01.657276,104.151
2018-08-27 19:00:02.143975,104.151
2018-08-27 19:05:01.759177,104.151
2018-08-27 19:10:01.772303,102.214
2018-08-27 19:15:02.437337,102.214
2018-08-27 19:20:01.957039,102.214
2018-08-27 19:25:01.902285,100.278
2018-08-27 19:30:02.780569,100.278
2018-08-27 19:35:02.251116,100.278
2018-08-27 19:40:02.057659,99.3092
2018-08-27 19:45:02.08125,98.3408
2018-08-27 19:50:02.278862,98.3408
2018-08-27 19:55:01.84171,97.3724
2018-08-27 20:00:01.90573,98.3408
2018-08-27 20:05:02.138562,97.3724
2018-08-27 20:10:02.401649,97.3724
2018-08-27 20:15:02.251953,96.404
2018-08-27 20:20:02.229889,95.4356
2018-08-27 20:25:02.192077,94.4672
2018-08-27 20:30:02.620128,94.4672
2018-08-27 20:35:01.832137,94.4672
2018-08-27 20:40:02.400394,94.4672
2018-08-27 20:45:02.446928,94.4672
2018-08-27 20:50:01.929801,94.4672
2018-08-27 20:55:01.710027,94.4672
2018-08-27 21:00:02.3399,94.4672
2018-08-27 21:05:02.089098,93.4988
2018-08-27 21:10:02.087426,93.4988
2018-08-27 21:15:02.682601,93.4988
2018-08-27 21:20:02.560597,92.5304
2018-08-27 21:25:01.719901,93.4988
2018-08-27 21:30:02.48003,93.4988
2018-08-27 21:35:02.232101,92.5304
2018-08-27 21:40:01.845378,93.4988
2018-08-27 21:45:02.196893,92.5304
2018-08-27 21:50:02.222041,92.5304
2018-08-27 21:55:01.893894,92.5304
2018-08-27 22:00:02.036172,92.5304
2018-08-27 22:05:02.526962,91.562
2018-08-27 22:10:02.612248,90.5936
2018-08-27 22:15:02.296825,92.5304
2018-08-27 22:20:02.296963,92.5304
2018-08-27 22:25:02.002489,92.5304
2018-08-27 22:30:02.344726,91.562
2018-08-27 22:35:02.015724,92.5304
2018-08-27 22:40:01.99352,91.562
2018-08-27 22:45:02.268597,92.5304
2018-08-27 22:50:01.72238,90.5936
2018-08-27 22:55:02.573576,92.5304
2018-08-27 23:00:02.147176,92.5304
2018-08-27 23:05:01.802381,92.5304
2018-08-27 23:10:02.536662,91.562
2018-08-27 23:15:02.580845,92.5304
2018-08-27 23:20:02.374063,91.562
2018-08-27 23:25:02.130377,92.5304
2018-08-27 23:30:02.601187,90.5936
2018-08-27 23:35:02.302734,90.5936
2018-08-27 23:40:02.025078,90.5936
2018-08-27 23:45:02.810319,90.5936
2018-08-27 23:50:02.440114,89.6252
2018-08-27 23:55:01.827156,90.5936
2018-08-28 00:00:02.204656,90.5936
2018-08-28 00:05:02.452383,89.6252
2018-08-28 00:10:01.88269,89.6252
2018-08-28 00:15:02.410218,89.6252
2018-08-28 00:20:02.220973,88.6568
2018-08-28 00:25:02.659805,89.6252
2018-08-28 00:30:02.738866,88.6568
2018-08-28 00:35:01.759872,88.6568
2018-08-28 00:40:02.36103,88.6568
2018-08-28 00:45:02.820753,88.6568
2018-08-28 00:50:01.754305,87.6884
2018-08-28 00:55:02.580695,88.6568
2018-08-28 01:00:02.492145,88.6568
2018-08-28 01:05:02.316411,88.6568
2018-08-28 01:10:01.748828,88.6568
2018-08-28 01:15:02.228239,88.6568
2018-08-28 01:20:02.498629,87.6884
2018-08-28 01:25:02.40744,88.6568
2018-08-28 01:30:02.745393,88.6568
2018-08-28 01:35:02.603582,87.6884
2018-08-28 01:40:02.341321,88.6568
2018-08-28 01:45:02.56976,88.6568
2018-08-28 01:50:01.822979,88.6568
2018-08-28 01:55:02.168138,87.6884
2018-08-28 02:00:02.712353,86.72
2018-08-28 02:05:02.205223,87.6884
2018-08-28 02:10:01.880539,86.72
2018-08-28 02:15:02.743851,86.72
2018-08-28 02:20:02.531822,86.72
