datetime,meas
2018-08-27 13:45:02,77.5
2018-08-27 13:50:02,77.5
2018-08-27 13:55:02,77.5
2018-08-27 14:00:02,78.3
2018-08-27 14:05:02,78.3
2018-08-27 14:10:02,78.3
2018-08-27 14:15:02,78.3
2018-08-27 14:20:02,79.2
2018-08-27 14:25:02,79.2
2018-08-27 14:30:02,79.2
2018-08-27 14:35:02,79.2
2018-08-27 14:40:01,79.2
2018-08-27 14:45:02,79.2
2018-08-27 14:50:02,78.4
2018-08-27 14:55:02,78.4
2018-08-27 15:00:02,78.4
2018-08-27 15:05:02,78.4
2018-08-27 15:10:02,77.7
2018-08-27 15:15:02,77.7
2018-08-27 15:20:02,77.7
2018-08-27 15:25:02,77.7
2018-08-27 15:30:02,77.7
2018-08-27 15:35:02,77
2018-08-27 15:40:02,77
2018-08-27 15:45:02,77
2018-08-27 15:50:02,77
2018-08-27 15:55:02,76.3
2018-08-27 16:00:02,76.3
2018-08-27 16:05:02,76.3
2018-08-27 16:10:01,76.3
2018-08-27 16:15:02,76.3
2018-08-27 16:20:02,75.6
2018-08-27 16:25:02,75.6
2018-08-27 16:30:02,75.6
2018-08-27 16:35:02,75.6
2018-08-27 16:40:02,73.6
2018-08-27 16:45:02,73.6
2018-08-27 16:50:02,73.4
2018-08-27 16:55:02,73.4
2018-08-27 17:00:02,73.4
2018-08-27 17:05:01,73.4
2018-08-27 17:10:01,72.9
2018-08-27 17:15:02,72.9
2018-08-27 17:20:02,72.9
2018-08-27 17:25:02,72.9
2018-08-27 17:30:02,72.3
2018-08-27 17:35:01,71.8
2018-08-27 17:40:02,71.8
2018-08-27 17:45:02,71.8
2018-08-27 17:50:02,71.8
2018-08-27 17:55:02,71.8
2018-08-27 18:00:03,71.8
2018-08-27 18:05:02,70.7
2018-08-27 18:10:02,70.7
2018-08-27 18:15:02,70.7
2018-08-27 18:20:02,70.7
2018-08-27 18:25:02,70.7
2018-08-27 18:30:02,68.9
2018-08-27 18:35:01,68.9
2018-08-27 18:40:02,68.9
2018-08-27 18:45:02,66.7
2018-08-27 18:50:02,66
2018-08-27 18:55:02,66
2018-08-27 19:00:02,66
2018-08-27 19:05:01,66
2018-08-27 19:10:02,66
2018-08-27 19:15:02,66
2018-08-27 19:20:02,66
2018-08-27 19:25:02,63.7
2018-08-27 19:30:02,63.7
2018-08-27 19:35:02,63.9
2018-08-27 19:40:01,63.9
2018-08-27 19:45:02,63.9
2018-08-27 19:50:02,63.9
2018-08-27 19:55:02,63.9
2018-08-27 20:00:02,63.9
2018-08-27 20:05:02,63.9
2018-08-27 20:10:02,64.8
2018-08-27 20:15:02,64.8
2018-08-27 20:20:01,64.8
2018-08-27 20:25:02,65.5
2018-08-27 20:30:02,65.5
2018-08-27 20:35:02,65.5
2018-08-27 20:40:02,64.9
2018-08-27 20:45:02,64.9
2018-08-27 20:50:02,64.9
2018-08-27 20:55:02,64.9
2018-08-27 21:00:02,64.9
2018-08-27 21:05:02,63.3
2018-08-27 21:10:02,63.3
2018-08-27 21:15:03,63.3
2018-08-27 21:20:02,63.3
2018-08-27 21:25:02,64.2
2018-08-27 21:30:02,64.2
