1,3
2,10
3,17
4,24
5,31
6,38
7,45
8,52
9,59
10,66
11,73
12,80
13,87
14,94
15,101
16,108
18,120
19,127
20,134
21,141
22,148
23,155
38,234
39,241
40,248
46,279
47,286
48,293
49,300
50,308
51,315
52,322
53,329
54,336
55,343
56,350
57,359
58,366
59,374
60,381
61,388
62,395
63,402
64,409
65,416
82,502
83,509
84,517
85,524
86,531
87,538
88,545
89,552
90,559
91,566
92,573
94,586
95,593
96,600
97,607
98,614
104,648
106,661
107,668
108,676
109,684
114,713
115,720
116,727
118,740
119,747
120,754
123,770
124,779
125,786
127,800
128,807
129,814
130,823
131,831
132,838
133,845
136,863
137,870
138,877
139,884
140,893
141,900
142,907
143,914
144,921
145,929
146,936
147,944
148,951
149,958
161,1022
165,1046
166,1053
167,1060
168,1067
169,1074
170,1081
173,1100
174,1107
176,1121
177,1128
179,1141
180,1148
181,1155
182,1162
183,1169
184,1178
185,1185
191,1219
192,1226
193,1233
194,1240
195,1246
196,1253
197,1262
198,1269
199,1278
200,1286
201,1293
202,1300
204,1313
207,1332
210,1350
211,1357
212,1364
213,1371
214,1378
215,1386
216,1393
217,1401
231,1475
232,1484
233,1491
235,1505
236,1512
237,1519
238,1528
239,1537
245,1568
246,1576
247,1584
248,1593
249,1600
250,1608
251,1615
252,1622
253,1629
255,1643
256,1650
257,1659
258,1667
261,1686
264,1704
266,1717
267,1725
270,1744
273,1762
274,1769
275,1776
276,1784
282,1815
284,1828
285,1836
286,1845
287,1852
288,1859
289,1866
292,1884
293,1891
294,1899
295,1906
296,1914
297,1921
298,1930
305,1966
308,1985
311,2004
313,2018
314,2027
315,2034
320,2063
321,2071
322,2078
323,2087
324,2094
325,2102
326,2110
330,2131
331,2138
332,2145
333,2152
334,2159
336,2173
337,2180
338,2187
339,2195
342,2213
343,2220
344,2227
346,2240
347,2249
348,2258
349,2267
350,2274
351,2281
352,2288
360,2332
361,2339
364,2357
365,2366
374,2415
375,2422
376,2429
377,2436
378,2443
379,2450
380,2458
381,2465
382,2472
383,2481
384,2488
385,2495
387,2508
388,2515
389,2523
395,2557
396,2564
397,2572
398,2579
399,2586
401,2599
402,2608
403,2615
405,2628
406,2635
407,2642
408,2649
409,2656
426,2745
427,2753
428,2762
429,2769
430,2778
431,2786
432,2793
433,2802
434,2809
435,2818
436,2825
437,2832
440,2850
444,2873
445,2882
446,2889
451,2917
452,2924
453,2932
454,2939
455,2946
457,2958
458,2965
459,2973
460,2980
461,2988
464,3006
477,3072
479,3085
480,3092
481,3099
482,3106
483,3113
484,3121
485,3128
486,3135
487,3142
493,3176
494,3183
495,3191
496,3198
497,3205
498,3213
499,3220
500,3227
501,3234
502,3243
503,3250
504,3259
505,3266
506,3273
507,3281
508,3288
510,3301
511,3308
512,3316
527,3395
528,3403
529,3412
530,3419
531,3427
532,3435
533,3442
534,3449
535,3456
536,3464
538,3478
540,3491
541,3498
542,3505
543,3512
544,3519
545,3528
546,3536
547,3544
548,3552
549,3559
550,3567
557,3606
558,3613
559,3621
560,3628
562,3642
563,3651
564,3659
565,3668
566,3675
567,3682
569,3696
570,3703
571,3710
572,3717
573,3726
574,3733
575,3740
576,3747
577,3754
581,3778
584,3797
591,3836
592,3845
593,3852
594,3859
596,3872
597,3879
598,3886
601,3905
602,3914
606,3938
609,3957
610,3964
611,3971
612,3978
616,4002
617,4009
618,4018
622,4041
623,4048
624,4055
625,4064
626,4071
627,4078
641,4149
642,4157
643,4164
645,4177
647,4190
648,4197
649,4204
650,4211
651,4220
652,4227
653,4236
654,4243
655,4251
657,4265
658,4272
659,4279
660,4288
661,4296
662,4303
663,4310
664,4317
674,4371
675,4379
676,4387
678,4401
679,4408
680,4416
682,4430
683,4438
684,4445
685,4452
686,4459
687,4466
688,4473
690,4486
691,4493
692,4500
693,4508
694,4515
696,4528
697,4536
698,4543
699,4550
702,4569
704,4583
705,4590
706,4597
707,4604
708,4613
709,4620
710,4627
711,4634
712,4641
713,4648
726,4717
731,4745
732,4752
733,4760
734,4768
735,4775
736,4782
737,4789
740,4805
741,4812
742,4819
743,4827
744,4834
745,4841
746,4848
747,4855
748,4864
749,4871
750,4878
755,4907
757,4920
758,4927
759,4936
761,4949
772,5008
773,5017
774,5024
776,5037
778,5051
779,5058
782,5076
784,5090
785,5097
786,5106
788,5120
789,5127
790,5134
791,5142
792,5150
796,5173
797,5180
798,5187
799,5194
800,5201
801,5208
802,5215
803,5223
806,5242
807,5249
809,5262
810,5269
811,5278
812,5285
813,5294
814,5301
815,5308
816,5315
827,5374
828,5381
829,5388
